,0
17,"['it', 'be', 'in', 'the', '30', 'what_happen', 'to', 'spring', 'global_warming', 'be', 'for', 'those', 'that', 'care', 'to', 'read', 'about', 'and', 'not', 'live', 'it', 'the', 'coldest', 'winter', 'ever', 'fu']"
18,"['i', 'truly', 'fat', 'as', 'gore', 'should', 'get', 'the', 'scam', 'artist', 'award', 'of', 'the', 'decade', 'with', 'his', 'global_warming', 'and', 'energy', 'credit', 'worth', 'close', 'to', 'billion']"
19,"['hide', 'the', 'decline', 'be', 'the', 'global_warming', 'nut', 'job', 'current', 'policy', 'it', 'all', 'a', 'epic', 'scam', 'they', 'be', 'lie', 'to', 'the', 'world', 'climategate', 'tcot_p2']"
20,"['boycott', 'siemens', 'for', 'buying', 'global_warming', 'climate_change', 'in', 'their', 'advertisement', 'tcot', 'sgp', 'teaparty']"
21,"['climate_change', 'scam', '3wordslibshate']"
22,"['scam', 'another', 'warmist', 'have', 'to', 'be', 'rescue', 'from', 'arctic', 'cold', 'global_warming', 'activist', 'transport']"
23,"['why', 'be', 'not', 'upset', 'with', 'the', 'volcano', 'for', 'cause', 'global_warming', 'climategate']"
24,"['hmmm', 'so', 'global_warming', 'be', 'a', 'fraud']"
25,"['global_warming', 'be', 'like', 'the', 'goldman', 'exec', 'full', 'of', 'sh']"
26,"['your', 'voice', 'the', 'fraud', 'of', 'global_warming', 'by', 'tim', 'michael', 'case', 'tracy', 'since', 'the', 'early', '1970s', 'our', 'public', 'school', 'syste']"
27,"['dear', 'global_warming', 'people', 'it', 'be', '52', 'degree', 'in', 'ca', 'on', '4/23', 'heat', 'on', 'content', 'of', 'this', 'message', 'be', 'copyright', 'and', 'property', 'of', 'author']"
28,"['i', 'be', 'freeze', 'still', 'in', 'southern', 'california', 'global_warming', 'fanatic', 'come', 'visit', 'me', 'wear', 'a', 'hat', 'glove', 'and', 'down', 'jacket']"
29,"['you', 'be', 'so', 'on', 'target', 'bullshit', 'be', 'even', 'well', 'than', 'the', 'climate_change', 'hoax', 'gore', 'climate_change', 'be', 'bullshit', 'leadersdebate', 'fact']"
30,"['climate_change', 'fraud', 'the', 'scandal', 'of', 'solar', 'power', 'in', 'spain']"
31,"['climate_change', 'fraud', 'global_warming', 'ethanol', 'ddt', 'and']"
32,"['despite', 'climategate', 'left', 'invest', 'heavily', 'in', 'global_warming', 'hysteria', 'a', 'new', 'way', '2', 'impose', ""nat'l"", 'international', 'control', 'on', 'human', 'freedom']"
33,"['obama', 'do', 'a', '3', 'minute', 'earth_day', 'video', 'fails', 'to', 'mention', 'the', 'global_warming', 'hoax']"
34,"['alms', 'let', 'me', 'politely', 'suggest', 'that', 'i', 'do_not', 'watch', 'motorsports', 'to', 'be', 'lecture', 'on', 'imaginary', 'global_warming', 'nascar']"
35,"['someone', 'go', 'tell', 'the', 'climate_change', 'crowd', 'to', 'go', 'hang', 'after', 'they', 'read', 'this']"
36,"['gagnon', 'like', 'most', 'liberal', 'you', 'have', 'be', 'duped', 'by', 'the', 'global_warming', 'socialist', 'propaganda']"
37,"['i', 'believe', 'that', 'global_warming', 'be', 'an', 'international', 'conspiracy', 'perpetrate', 'by', 'ge', 'in', 'order', 'to', 'sell', 'more', 'air', 'conditioner']"
38,"['global_warming', 'dirt-carbon', 'peril', 'model', 'be', 'wrong', 'say', 'boffin', 'greenhouse', 'experiment', 'show', 'reduce', 'greenhouse']"
39,"['don_blankenship', 'call', 'effort', 'on', 'mine_safety', 'regulation', 'a_silly', 'a', 'global_warming']"
40,"['don_blankenship', 'call', 'effort', 'on', 'mine_safety', 'regulation', 'a_silly', 'a', 'global_warming', 'at', 'his', 'labor', 'day', 'anti-union']"
41,"['do_not', 'be', 'swayed', 'by', 'distraction', 'of', 'climate_change', 'treat', 'earth', 'responsibly', 'earthday']"
42,"['who', 'care', 'about', 'global_warming', 'by', 'jackie', 'gingrich', 'cushman', 'in', '1971', 'i', 'join', 'my', 'parent', 'and', 'old', 'sister', 'in', 'the']"
43,"['don_blankenship', 'call', 'safety_regulator', 'a_silly', 'a', 'global_warming']"
44,"['coal', 'ceo', 'call', 'mine_safety', 'rule', 'a_silly', 'a', 'global_warming']"
45,"['good', 'go', 'douche', ""i'm"", 'sure', 'there', 'be', 'no', 'climate_change', 'in', 'your', 'backass', 'world', 'graham', 'move', 'imperils', 'obama', 'agenda']"
46,"['well', 'this', 'be', 'just', 'crazy', 'coal', 'ceo', 'call', 'mine_safety', 'rule', 'a_silly', 'a', 'global_warming']"
47,"['military', 'lead', 'fight', 'against', 'climate_change', 'pew']"
48,"['migratory', 'bird', 'new', 'climate_change', 'strategy', 'stay', 'home', 'kb', 'more', 'proof', 'global_warming', 'be', '4', 'the', 'bird', 'not', 'eco', 'green']"
49,"['cochabamba', 'summit', 'offer', 'new', 'approach', 'to', 'combat', 'climate_change']"
50,"['wait', ""here's"", 'an', 'idea', 'it', 'be', 'natural', 'climate_change', 'not', 'human', 'induced', 'global_warming']"
51,"['5th', 'u', 'climate', 'action', 'report', 'release', 'global_warming', 'be', 'unequivocal', 'treehugger', 'by', 'brian', 'merchant', 'brooklyn', 'ne']"
52,"['illegal', 'war', 'and', 'the', 'myth', 'of', 'global_warming', 'my', 'main', 'campaign', 'platform', 'for', 'this', 'election', 'will', 'be', 'the', 'illegal']"
53,"['one', 'stop', 'book', 'stop', 'confirm', 'global_warming', 'be', 'settle', 'à_', 'a', 'a', 'scam', 'wnd.com', ""sussman's"", 'book', 'the', 'mybookstop.info']"
54,"['global_warming', 'vostok', 'antarctica', 'sits', 'at', '100f', 'with', 'low', 'forecast', 'to', '110f', 'break']"
55,"['scam', 'another', 'warmist', 'have', 'to', 'be', 'rescue', 'from', 'arctic', 'cold', 'global_warming', 'activist', 'transport', 'tcot_p2']"
56,"['monster', 'chiller', 'horror', 'global_warming', 'have', 'you', 'consider', 'the', 'possibility', 'that', 'your', 'climate', 'model', 'be', 'wrong', 'tcot']"
57,"['cow', 'fart', 'exonerate', 'from', 'global_warming', 'al_gore', 'sigh', 'huge', 'relief', 'from', 'his', 'rectum', 'cbiz', 'tcot', 'sgp', 'teaparty', 'ucot']"
58,"['your', 'voice', 'the', 'fraud', 'of', 'global_warming', 'by', 'tim', 'michael', 'case', 'tracy', 'since', 'the', 'early', '1970s', 'our', 'public', 'school', 'syste']"
59,"['computer', 'forensics', 'expert', 'be', 'there', 'still', 'any', 'idiot', 'out', 'there', 'that', 'belive', 'global_warming', 'be', 'true']"
60,"['liberal', 'looney', 'toon', 'global_warming', 'alarmist', 'come', 'home', 'with', 'artic', 'frost', 'bite', 'gather.com', 'they', 'wont', 'learn', 'huh', 'lo']"
61,"['climate_change', 'fraud', 'the', 'scandal', 'of', 'solar', 'power', 'in', 'spain']"
62,"['climate_change', 'fraud', 'global_warming', 'ethanol', 'ddt', 'and']"
63,"['obama', 'do', 'a', '3', 'minute', 'earth_day', 'video', 'fails', 'to', 'mention', 'the', 'global_warming', 'hoax']"
64,"['someone', 'go', 'tell', 'the', 'climate_change', 'crowd', 'to', 'go', 'hang', 'after', 'they', 'read', 'this', 'tcot']"
65,"['gagnon', 'like', 'most', 'liberal', 'you', 'have', 'be', 'duped', 'by', 'the', 'global_warming', 'socialist', 'propaganda']"
66,"['un', 'process', 'in', 'danger', 'unless', 'world', 'agrees', 'on', 'climate_change', 'telegraph', 'global_warming', 'be', 'a', 'fraud', 'for', 'world', 'government']"
67,"['global_warming', 'dirt-carbon', 'peril', 'model', 'be', 'wrong', 'say', 'boffin', 'greenhouse', 'experiment', 'show', 'reduce', 'greenhouse']"
68,"['connecticut', 'buy', 'into', 'global_warming', 'but', 'some', 'senate', 'candidate', 'do_not', 'one', 'might', 'assume', 'that', 'regardless', 'of']"
69,"['tea', 'party', 'with', 'a', 'difference', 'climate_change', 'really', 'hit', 'will', 'come', 'with', 'instruction', 'in', 'chinese', 'go', 'green', 'tea']"
70,"['alexia', 'park', 'global_warming', 'of', 'the', 'heart', 'earth_day', 'be', 'over', 'or', 'be', 'it', 'thousand', 'perhaps', 'million', 'of', 'consc']"
71,"['climate', ""science's"", 'chinese', 'whisper', 'the', 'book', 'that', 'separate', 'global_warming', 'fact', 'from', 'fiction', 'the', 'culture', 'shock', 'of']"
72,"['don_blankenship', 'call', 'effort', 'on', 'mine_safety', 'regulation', 'a_silly', 'a', 'global_warming']"
73,"['don_blankenship', 'call', 'effort', 'on', 'mine_safety', 'regulation', 'a_silly', 'a', 'global_warming', 'at', 'his', 'labor', 'day', 'anti-union']"
74,"['2009', 'year', 'in', 'which', 'sceptic', 'stole', 'run', 'on', 'climate_change', 'australian', 'business', 'could', 'show', 'our', 'politician', 'the']"
75,"['u', 'climate_change', 'negotiate', 'plan', 'reveal', 'if', 'doc', 'left', 'behind', 'on', 'a', 'copy', 'machine', 'can', 'be', 'believe']"
76,"['american', 'medium', 'be', 'not', 'put', 'out', 'much', 'on', 'climate_change', 'that', 'be', 'why', 'you', 'should', 'watch', 'grit', 'be', 'take']"
77,"['a', 'i', 'say', 'only', 'day', 'ago', 'we', 'will', 'start', 'see', 'much', 'more', 'temper', 'reporting', 'on', 'global_warming', 'start', 'the']"
78,"['best', 'propaganda', 'poster', 'ever', 'modern', 'version', 'substitute', 'climate_change', 'denier']"
79,"['to', 'address', 'global_warming', 'skeptic', 'at', '4th', 'iccc', 'agw', 'tcot', 'tlot', 'climate']"
80,"['only', '12', 'of', 'american', 'be', 'very', 'worried', 'about', 'global_warming', 'a', 'make', 'it', 'case', 'on', 'climate_change']"
81,"['climb', 'out', 'of', 'the', 'dark', 'social', 'justice', 'replaces', 'global_warming', 'climate_change', 'hang', 'on', 'by', 'it', 'be', 'fingernail', '. ...']"
82,"['only', 'a', 'third', 'of', 'american', 'believe', 'global_warming', 'be', 'human-caused', 'by', 'bob', 'elli', 'on', 'april', '26th', '2010', 'good', 'news', 'what']"
83,"['american', 'dont', 'give', 'a', 'about', 'global_warming', 'survey', 'say', 'retail', 'investor', 'from', 'city', 'other', 'than', 'in', 'the', 'u', 'fe']"
84,"['in', 'climate', 'data', 'that', 'suggests', 'global_warming', 'and', 'then', 'the', 'assumption', 'that', 'it', 'be', 'our', 'do']"
85,"['realclearpolitics', 'global_warming', 'panic', 'attack', 'with', 'the', 'senate', 'about', 'to', 'begin', 'a', 'long-awaited', 'debate', 'over', 'energy']"
86,"['county', 'dispute', 'global_warming', 'by', 'laura', 'london', 'staff', 'writer', 'the', 'otero', 'county', 'commission', 'have', 'an', 'involve', 'discussi']"
87,"['c3', 'new', ""mexico's"", 'democrat', 'liberal', 'push', 'global_warming', 'read', 'here', 'despite', 'the', 'u', 'government', 'temperature', 'data']"
88,"['global_warming', 'measurement', 'do_not', 'account', 'for', 'miss', 'heat']"
89,"['who', 'care', 'about', 'global_warming', 'by', 'jackie', 'gingrich', 'cushman', 'in', '1971', 'i', 'join', 'my', 'parent', 'and', 'old', 'sister', 'in', 'the']"
90,"['don_blankenship', 'mine_safety', 'regulator', 'a_silly', 'a', 'global_warming']"
91,"['don_blankenship', 'call', 'safety_regulator', 'a_silly', 'a', 'global_warming']"
92,"['coal', 'ceo', 'call', 'mine_safety', 'rule', 'a_silly', 'a', 'global_warming']"
93,"['do_not', 'your', 'position', 'assume', 'man-made', 'carbon', '2.89', 'of', 'atmosphere', 'cause', 'climate_change', 'today', 'this', 'be', 'untenable', 'hypothesis']"
94,"['still', 'believe_in', 'human-caused', 'global_warming', 'more', 'information', 'expose', 'the', 'truth', 'hoboken', 'nj']"
95,"['global_warming', 'a', 'market', 'proposal', 'even', 'libertarian', 'would', 'love', 'libertarian', 'may', 'debate', 'the', 'merit', 'of', 'global']"
96,"['the', 'tolerant', 'left', 'deny', 'climate_change', 'and', ""you'd"", 'be', 'guilty', 'of', 'a', 'crime', 'against', 'peace']"
97,"['at', 'the', 'pen', 'talk', 'on', 'climate', 'at', 'met', 'offer', 'a', 'useful', 'note', 'of', 'realism', 'climate_change', 'be', 'in', 'our', 'heads-and', 'we', 'need', 'to', 'change', 'our', 'head']"
98,"['do_not', 'forget', 'jon', 'kyl', ""world's"", 'most', 'powerful', 'global_warming', 'denier', 'maybe', '140', 'character', 'limit', 'kept', 'him', 'off', 'your', 'list']"
99,"['nor', 'a', 'joke', 'u', ""govt's"", 'new', 'climate_change', 'claim', 'global_warming', 'cause', 'well', 'everything']"
100,"['global_warming', 'sea', 'level', 'rise', 'carbon', 'footprint', 'al_gore', 'buy', '9', 'million', 'estate', 'by', 'ocean']"
101,"['global_warming', 'sea', 'level', 'rise', 'carbon', 'footprint', 'al_gore', 'buy', '9', 'million', 'estate', 'by', 'ocean']"
102,"['yeah', 'about', 'that', 'global_warming', 'footprint', 'al', 'you', 'hypocritical', 'jackass']"
103,"['global_warming', 'you', 'tube', 'parody', 'you', 'will', 'like', 'ipcc', 'gop']"
104,"['and', 'why', 'the', 'fuck', 'be', 'it', 'so', 'cold', 'fuck', 'you', 'global_warming']"
105,"['now', 'they', 'say', 'we', 'may', 'go', 'crazy', ""gov't"", 'report', 'say', 'global_warming', 'may', 'cause', 'mental', 'illness', 'a', 'new', 'cont']"
106,"['more', 'global_warming', 'profiteer', 'by', 'obama', 'energy', 'official']"
107,"['fire', 'fire', 'the', 'nation', 'on', 'fire', 'your', 'load', 'on', 'a', 'freight', 'train', 'but', 'the', 'climate_change', 'bill', 'load', 'you', 'the', 'people', 'like', 'sheep', 'to', 'the', 'slaughter']"
108,"['stop', 'reid', 'climate_change', 'be', 'like', 'save', 'the', 'world', 'tcot', '912', 'teaparty', 'rnc', 'gop', 'p2']"
109,"['remember', 'the', 'right-wing', 'furor', 'over', 'leak', 'climate_change', 'email', 'where', 'be', 'their', 'rage', 'over', 'the', 'goldman', 'sachs', 'email']"
110,"['why', 'the', 'heck', 'do', 'it', 'get', 'cold', 'all', 'of', 'a', 'sudden', 'be', 'al_gore', 'in', 'town', 'for', 'a', 'global_warming', 'speech', 'or', 'something']"
111,"['talk', 'about', 'iguana', 'i', 'love', 'this', 'vid', 'of', 'frozen', 'iguana', 'fall', 'out', 'of', 'tree', 'global_warming']"
112,"['why', 'co2', 'projection', 'on', 'global_warming', 'be', 'false', 'while', 'projection', 'and', 'prediction', 'on', 'co2', 'concentration', 'in', 'the', 'at']"
113,"['global_warming', 'profiteer', 'in', 'the', 'obama_administration']"
114,"['factor', 'producer', 'jesse', 'watters', 'caught', 'up', 'with', 'former', 'vp', 'al_gore', 'and', 'talk', 'about', 'global_warming', 'we', 'will', 'show', 'you', 'the']"
115,"['that', 'be', 'a', 'good', 'article', 'though', 'i_think', 'the', 'statistic', 'on', 'global_warming', 'be', 'actually', 'it', 'weak', 'link', 'a', 'far', 'a', 'i', 'can', 'see']"
116,"['those', 'link', 'the', 'miss', 'tornado', 'and', 'climate_change', 'have', 'we', 'already', 'forgotten', 'snowpocalypse', 'not', 'a', 'win', 'argument']"
117,"['new', 'post', 'cloudy', 'with', 'a', 'chance', 'of', 'climate_change']"
118,"['global_warming', 'epa', 'cover-up', 'walter', 'williams', 'ftsn', 'social']"
119,"[""i'm"", 'consider', 'tell', 'my', 'professor', 'that', 'finish', 'this', 'final', 'paper', 'would', 'poison', 'the', 'well', 'on', 'the', 'climate_change', 'bill', 'lindseygrahamisatool']"
120,"['million', 'out', 'to', 'protest', 'global_warming', 'i', 'found', 'al_gore', 'tcot']"
121,"['much', 'need', 'rain', 'be', 'falling-gardens', 'field', 'verdant', 'blooming', 'but', ""everything's"", '2', 'wks', 'ahead', 'of', 'schedule-global', 'warming']"
122,"['so', 'what', 'do', 'my', 'sustainable', 'twerp', 'think', 'about', 'lindsey', 'graham', 'pull', 'his', 'support', 'for', 'climate_change', 'legislation']"
123,"['i', 'thought', 'liberal', 'be', '4', 'separation', 'of', 'church', 'state', 'whitehouse', 'want', 'church', '2', 'advance', 'climate_change']"
124,"['freakonomics', 'a', 'climategate', 'victim', 'and', 'the', 'state', 'of', 'the', 'global-warming', 'problem', 'a', 'walk', 'though', 'the', 'many', 'angle', 'at']"
125,"['never', 'have', 'a', 'public-policy', 'agenda', 'be', 'pursue', 'with', 'so', 'little', 'regard', 'for', 'scientific', 'fact', 'or', 'for', 'public', 'opinion', 'the', 'global-warming', 'tax', 'tcot']"
126,"['jake', 'whitney', 'on', 'the', 'hoax', 'of', 'the', 'climate_change', 'hoax', 'climate_change', 'skeptic', 'have', 'be', 'sing', 'a', 'victory', 'song']"
127,"['jake', 'whitney', 'on', 'the', 'hoax', 'of', 'the', 'climate_change', 'hoax', 'climate_change', 'skeptic', 'have', 'be', 'sing', 'a', 'victory', 'song']"
128,"['radio', 'host', 'sussman', 'gore', 'do_not', 'believe_in', 'global_warming', 'he', 'believe_in', 'money', 'fro', 'p2', 'medium']"
129,"['avatar', 'director', 'climate_change', 'great', 'a', 'any', 'threat', 'since', 'wwii', 'jim', 'leave', 'reality', 'to', 'others', 'tcot_teaparty']"
130,"['global_warming', 'alarmist', 'have', 'be', 'discredit', 'but', 'you', 'would', 'not', 'know', 'it', 'from', 'the', 'rhetoric', 'this', 'earth_day', 'agw']"
131,"['independent', ""women's"", 'forum', 'try', 'to', 'suggest', ""there's"", 'still', 'a', 'debate', 'to', 'be', 'have', 'a', 'to', 'the', 'legitimacy', 'of', 'climate_change', 'moron', 'p2', 'tcot']"
132,"['plz', 'digg', 'coal', 'ceo', 'call', 'mine_safety', 'rule', 'a_silly', 'a', 'global_warming', 'p2', 'dnj', 'du1']"
133,"['indigenist-edtrls', 'viola', 'wilkins', 'mother', 'earth', 'bolivian', 'president', 'blame', 'capitalism', 'for', 'global_warming', 'via', 'camp']"
134,"['wsj', 'global_warming', 'alarmist', 'have', 'be', 'discredit', 'but', 'you', 'would', 'not', 'know', 'it', 'from', 'the', 'rhetoric', 'this', 'earth_day']"
135,"['wsj', 'global_warming', 'alarmist', 'have', 'be', 'discredit', 'but', 'you', 'would', 'not', 'know', 'it', 'from', 'the', 'rhetoric', 'this', 'earth_day']"
136,"['gotta', 'head', 'to', 'bed', 'eyeball', 'be', 'burning', 'probably', 'due_to', 'global_warming', 'or', 'something', 'oh', 'maybe', 'i', 'should', 'not', 'have', 'say', 'that', 'on', 'earth_day']"
137,"['richard', 'lindzen', 'climate', 'science', 'in', 'denial', 'global_warming', 'alarmist', 'have', 'be', 'discredit', 'but', 'you', 'wouldn']"
138,"['scientist', 'say', 'global_warming', 'will', 'cause', 'the', ""world's"", 'ocean', 'to', 'rise', '5', 'foot', 'this', 'can', 'mean', 'only', 'one', 'thing', 'justin', 'biebe']"
139,"['acid', 'in', 'the', 'ocean', 'fraud', 'global_warming', 'climate_change', 'eco']"
140,"['two', 'vote', 'on', 'climate_change', 'accountability', 'pass', 'in', 'hoc', 'tonight', 'conservative', 'on', 'wrong', 'side', 'of', 'history', 'voting', 'again']"
141,"['climatism-anthropogenic', 'global_warming', 'a', 'a', 'religion', 'climate_change']"
142,"['major', 'study', 'global_warming', 'graph', 'junk', 'science', 'bolivia', 'teaparty', 'yal', 'c4l', 'tcot', 'tlot']"
143,"['global_warming', 'graph', 'attack', 'by', 'study', 'ice', 'hockey', 'stick', 'temperature', 'rise', 'slam', 'a', 'exaggerated']"
144,"['inslee', 'mine_safety', 'be', 'a_silly', 'a', 'global_warming']"
145,"['judyth_piazzayahoo', '::', '::', 'type', '::', 'datetime', 'hash', '0x5d38b30', ""john's"", 'daily', 'dump', 'another', 'global_warming', 'hoax', 'huckabe']"
146,"['green', 'fact', ':d', 'id', 'you', 'know', 'that', 'skeptic', 'and', 'advocate', 'both', 'agree', 'there', 'have', 'be', 'no', 'global_warming', 'since', '1995', 'climate_change']"
147,"['i_think', 'global_warming', 'might', 'truly', 'be', 'a', 'myth', ""i've"", 'hat', 'people', 'for', 'year', 'and', 'by', 'now', 'i', 'would', 'have', 'thought', ""they'd"", 'have', 'warm', 'up', 'to', 'the', 'idea']"
148,"['be', 'well', 'thanx', 'hope', 'u', '2', 'enjoy', 'the', 'weather', 'b4', 'it', 'break', 'and', 'get', 'cold', 'again', ':(', 'so_much', '4', 'global_warming', 'eh']"
149,"['it', 'true', 'major', 'solar', 'power', 'scam', 'global_warming', 'climate_change', 'eco']"
150,"['damn', 'global_warming', 'lol']"
151,"['help', 'make', 'the_great', 'global_warming', 'blunder', 'a', 'bestseller', 'it', 'be', 'currently', 'ranked', '28', 'on', 'amazon', '8', 'in', 'nonfiction']"
152,"['with', 'the', 'help', 'of', 'lindsey', 'graham', 'the', 'democrat', 'be', 'quietly', 'move', 'their', 'climate_change', 'bill', 'through', 'the', 'senate', 'time', 'to', 'be', 'worried']"
153,"['the', 'man-made', 'global_warming', 'hoax', 'part', '5', '):', 'although', 'al_gore', 'and', 'his', 'medium', 'crony', 'endlessly', 'bleat', 'that']"
154,"[""s'not"", 'true', 'allergy', 'due_to', 'global_warming', 'will', 'get', 'bad', 'drive', 'up', 'healthcare', 'cost']"
155,"['it', 'be', 'not', 'true', 'global_warming', 'will', 'not', 'kill', 'u', 'cheer']"
156,"['secular', 'worship', 'at', 'foot', 'of', 'fickle', 'angry', 'global_warming', 'cool', 'god', 'and', 'proselytize', 'world', 'tcot', 'gop', 'seanhannity']"
157,"['hahah', 'lol', 'global_warming']"
158,"['hmm', 'be', ""london's"", 'temperamental', 'mood', 'change', 'actually', 'to', 'do', 'with', 'the', 'famous', 'global_warming', 'hav', 'we', 'nearly', 'run', 'out', 'of', 'f.fuels']"
159,"['this', 'weekend', 'huge', 'ice', 'block', 'from', 'the', 'hualcan', 'glacier', 'in', 'peru', 'broke', 'off', 'so_much', 'for', 'glacial', 'retreat', 'climate_change']"
160,"['too', 'hot', 'blame', 'global_warming', 'too', 'cold', 'still', 'blame', 'global_warming']"
161,"['drakeseyebrows', 'could', 'stop', 'global_warming']"
162,"['hey', 'hey', 'i', 'know', 'what', ""get's"", 'his', 'goat', 'lol', 'it', 'either', 'lake', 'level', 'or', 'the', 'truth', 'about', 'global_warming', 'hahaha']"
163,"['haha', 'i', 'really', 'like', 'that', 'answer', 'they', 'stay', 'blame', 'every', 'weird', 'phenomenon', 'on', 'global_warming']"
164,"['epa', 'put', 'a', 'mafia-style', 'hit', 'on', 'sound', 'science', 'global_warming', 'climate_change']"
165,"['someone', 'should', 'try', 'a', 'tax', 'cut', 'ignore', 'climate_change', 'approach', 'to', 'economic', 'growth', 'history', 'say', 'it']"
166,"['climategate', 'faster', 'faster', 'the', 'domino', 'fall', 'global_warming', 'climate_change']"
167,"['someone', 'should', 'try', 'a', 'tax', 'cut', 'ignore', 'climate_change', 'approach', 'to', 'economic', 'growth', 'history', 'say', 'it', 'ca_not', 'fail']"
168,"['global_warming', 'doomsday', 'call', 'off', 'climate_change', 'eco']"
169,"['industrial', 'animal', 'farm', 'discush', 'on', 'yle', '2', 'farmer', 'unsurprisingly', 'think', ""animals've"", 'jolly', 'ol', 'time', 'impact', 'on', 'climate_change', 'exaggrtd', 'right']"
170,"['nasa', 'creates', 'it', 'own', 'global_warming', 'by', 'alter', 'data', 'climate_change']"
171,"['global_warming', 'hysteria', 'obama', 'to', 'try', 'to', 'jam', 'it', 'through']"
172,"['here', 'be', 'the', 'climategate', 'e-mail', 'prima', 'fascia', 'evidence', 'of', 'a', 'global_warming', 'lie', 'climate_change']"
173,"['lyin', 'for', 'climate', 'indoctrination', 'global_warming', 'climate_change']"
174,"['green', 'fact', 'do', 'you', 'know', 'that', 'skeptic', 'and', 'advocate', 'both', 'agree', 'there', 'have', 'be', 'no', 'global_warming', 'since', '1995', 'climate_change']"
175,"['nom', 'guess', 'they', 'thought', 'you', 'wouldnt', 'notice', 'global_warming', 'climate_change', 'eco']"
176,"['death', 'by', 'cafe', 'standard', 'green', 'logic-killing', 'people', 'to', 'save', 'them', 'global_warming', 'climate_change', 'eco']"
177,"['epa', 'put', 'a', 'mafia-style', 'hit', 'on', 'sound', 'science', 'global_warming', 'climate_change']"
178,"['david', 'sokol', 'from', 'buffet', 'mid', 'american', 'on', 'coal', 'and', 'climate_change', 'be', 'an', 'embarassment', 'shame', 'on', 'them', 'fortunegreen']"
179,"['wonk', 'room', 'don_blankenship', 'call', 'safety_regulator', 'a_silly', 'a', 'global_warming']"
180,"['more', 'than', '1/4', 'tv', 'weathercasters', 'think', 'global_warming', 'a', ':/', 'bit.ly/bi9p1v', 'be', 'these', 'meteorologist', 'or', 'just', 'pretty', 'map', 'pointer']"
181,"['i', 'hate', 'all', 'the', 'rubbish', 'about', 'climate_change', 'wish', 'someone', 'could', 'just', 'sort', 'it', 'out', 'too', 'much', 'talk', 'not', 'enough', 'action']"
182,"['this', 'may', 'help', 'sue', 'al_gore', 'for', 'fraud', 'weathercasters', 'divide', 'on', 'global_warming']"
183,"['cow', 'fart', 'exonerate', 'from', 'global_warming', 'al_gore', 'sigh', 'huge', 'relief', 'from', 'his', 'rectum']"
184,"['coal', 'ceo', 'call', 'mine_safety', 'rule', 'a_silly', 'a', 'global_warming', 'shanxi', 'west', 'virginia']"
