,0
39,"['proof', ""there's_no"", 'climate_change', '75', 'ft', 'killer', 'tsunami', 'create', 'in', 'a', 'peruvian', 'lake', 'when', 'a', 'glacier', 'fracture', 'fall', 'into', 'the', 'lake']"
40,"['real', 'science', 'not', ""algore's"", 'climate_change', 'science', 'hack', 'with', 'their', 'man-made', 'global_warming', 'hoax', 'gore', '=p', 'alin']"
41,"['30000', 'anti-global', 'warming', 'scientist', 'ca_not', 'be', 'wrong', 'stranger', 'nature', 'magazine', 'the', 'academic', 'journal', 'that', 'int']"
42,"['global_warming', 'baloney', 'accord_to', 'the', 'expert', 'at', 'nasa', 'the', 'difference', 'between', 'weather', 'and', 'climate', 'be', 'a', 'measure']"
43,"['computer', 'forensics', 'expert', 'be', 'there', 'still', 'any', 'idiot', 'out_there', 'that', 'belive', 'global_warming', 'be', 'true']"
44,"['liberal', 'looney', 'toon', 'global_warming', 'alarmist', 'come', 'home', 'with', 'artic', 'frost', 'bite', 'gather.com', 'they', 'wont', 'learn', 'huh', 'lo']"
45,"['global_warming', 'you_tube', 'explanation', 'you', 'will', 'enjoy', 'ipcc', 'teaparty']"
46,"['immigration_reform', 'and', 'climate_change', 'a_tale', 'of', 'two_issue', 'in', 'the', 'senate']"
47,"['memo', 'on', 'the', 'white_house', 'correspondent', 'dinner', 'if_you', 'want', 'to', 'be', 'green', 'report', 'on', 'climate_change', ""i'd"", 'never', 'be', 'on']"
48,"['view', 'on', 'global_warming', 'vary', 'in_three', 'country', 'angus', 'reid', 'global', 'monitor', 'people', 'in_three', 'country', 'hold']"
49,"['scenarios-challenges', 'to', 'california', 'climate_change', 'law', 'source', 'reuters', 'by', 'peter', 'henderson', 'san', 'francisco', 'april_26']"
50,"['the', 'climate', 'of', 'lindsay', ""graham's"", 'support', 'for', 'climate_change', 'legislation', 'have', 'change', 'today', 'lindsey_graham']"
51,"[""arizona's"", 'immigration', 'law', 'climate_change', 'legislation', 'stalling--which', 'issue', 'should', 'congress', 'focus_on', 'now', 'poll']"
52,"[""graham's_exit"", 'from_talk', 'put', 'climate_change', 'bill', 'in_limbo', 'a', 'climate-change_bill', 'that', 'be', 'schedule_to', 'be', 'unveile']"
53,"['u', 'climate_change', 'bill', 'stall', 'in', 'senate']"
54,"['people', 'world', 'grand', 'rapid', 'mich', 'opponent', 'of', 'climate_change', 'legislation', 'typically', 'argue', 'that', 'regulate', 'globa']"
55,"['cnnbrk', 'sen', ""graham's"", 'move_imperils', 'dems', 'push', 'for', 'immigration', 'climate_change', 'bill']"
56,"['cafe_scientifique', 'present', 'global_warming', 'talk', 'film', 'the', 'april', 'cafe_scientifique', 'presentation', 'will', 'be', 'on', 'the']"
57,"['check_this', 'video', 'out', 'the', 'business', 'of', 'climate_change', 'conference', '2009']"
58,"['brilliant', 'tip', 'for', ""valentine's_day"", 'a_scream', 'à_o_à_', 'climate_change', 'clinical_trial', 'collagen_clinique', 'clip']"
59,"['usa', 'climate_change', 'policy', 'update', 'april', '12', '2010']"
60,"['press', 'release', 'april', '2010', 'climate_change', 'negotiator', 'agree', 'on', 'intensified']"
61,"['global_warming', 'clearly']"
62,"['postpartisan', 'harry', ""reid's"", 'hapless', 'play', 'on', 'immigration', 'and', 'climate_change']"
63,"['foe', 'of', ""california's"", 'global_warming', 'law_pour', 'money_into', 'a', 'campaign', 'to_delay', 'it']"
64,"['earth_day', 'live', 'chat', 'with', 'carol_browner', 'director', 'of', 'the', 'office', 'of', 'energy', 'and', 'climate_change', 'policy', 'for', 'the', 'obama', 'admin']"
65,"['klein', 'a', '50-50', 'chance', 'that', 'the', 'senate', 'pass', 'a', 'climate_change', 'bill', 'this_year']"
66,"['yes', 'i', 'have', 'heard', 'at_least', 'one', 'person', 'make', 'the', 'connection', 'between', 'the', 'volcano', 'and', 'global_warming']"
67,"['nasa', 'change', 'fact', 'guess', 'they', 'thought', 'you', 'wouldnt', 'notice', 'global_warming', 'climate_change', 'eco']"
68,"['a_religious', 'spin', 'on', 'climate_change']"
69,"['environmental', 'group', 'praise', 'basic', 'meeting', 'on', 'climate_change', 'environmental', 'group', 'be', 'give', 'qualify', 'praise', 'to', 'a']"
70,"['only', 'a', 'third', 'of', 'american', 'believe', 'global_warming', 'be', 'human-caused', 'by', 'bob', 'elli', 'on', 'april', '26th', '2010', 'good_news', 'what']"
71,"['global_warming', 'of', 'the', 'heart_earth', 'day', 'be', 'over', 'or', 'be', 'it_thousand', 'perhaps', 'million', 'of', 'conscious', 'action']"
72,"['in', 'climate', 'data', 'that', 'suggests', 'global_warming', 'and', 'then', 'the', 'assumption', 'that', 'it', 'be', 'our', 'do']"
73,"['global_warming', 'fiction', 'or', 'fact', 'denier', 'claim', 'either', 'that', 'there_be', 'no', 'global_warming', 'or', 'that', 'it', 'be', 'not', 'due_to']"
74,"['the', 'b-cast', 'interview', 'minnesotan', 'for', 'global_warming', 'fight', 'youtube', 'takedown']"
75,"['opponent', 'ramp', 'up', 'effort', 'to_delay', 'calif', 'global_warming', 'law']"
76,"['how', 'many', 'be', 'aware', 'of', 'the', ""world_people's"", 'conference_on', 'climate_change', 'and', 'earth', 'right', 'in', 'bolivia', 'earthweek', 'indigenous', '1stnations']"
77,"['sorry', 'i', 'will', 'not', 'be', 'able', 'to', 'accept', 'the', 'invitation', 'to', 'be', 'a', 'panelist', 'at', 'bolivia', 'climate_change', 'talk']"
78,"['climate', 'scientist_sue', 'newspaper_for', 'poison', 'global_warming', 'debate']"
79,"['sharifkouddous', 'indigenous', 'group', 'from', 'across', 'bolivia', 'arrive', 'at', ""world_people's"", 'conference_on', 'climate_change']"
80,"['recycle_water', 'meat', 'and', 'global_warming', 'peanut_rare', 'grape']"
81,"['great', 'article']"
82,"['cuccinelli', 'file', 'motion', 'to', 'force', 'epa', 'to', 'reopen', 'global_warming', 'find', 'virginia', 'attorney', 'general', 'ken', 'cuccinelli', 'ha']"
83,"['don_blankenship', 'mine_safety', 'regulator', 'a_silly', 'a', 'global_warming']"
84,"['bring', 'back', 'the', 'hair', 'that', 'you', 'once', 'have', 'with', ""nanogen's"", 'nanofibers', 'climate_change', 'clinical_trial', 'collagen']"
85,"['street-corner', 'global-warming', 'counsel', 'urgh', 'certain', 'element', 'of', 'this', 'item', 'in', ""sunday's"", 'washington', 'post', 'à_five', 'myth']"
86,"['a_religious', 'take', 'on', 'climate_change']"
87,"['be', 'you', 'ready', 'for', 'the', 'climate_change', 'pli', 'be', 'with', 'environmental', 'regulation', 'commercial', 'implication', '2010', 'how', 'the']"
88,"['live', 'tonight', 'fellow', 'heather_rogers', 'join', 'climate_change', 'expert', 'james_hansen', 'to', 'discus', 'real_solution', 'to', 'climate']"
89,"['plan_california', 'brace_for', 'climate_change']"
90,"['plant_effective', 'way', 'of', 'tackle', 'global_warming', 'washington', 'apr', '30', 'plant', 'leaf', 'account_for', 'less_than', 'one', 'per']"
91,"['it', 'be', 'about', '2', 'be', '86', 'degree', 'out', 'here', 'in', 'nyc', 'shiiiiiitttt', 'fuck', 'glodman', 'sachs', 'obama', 'well', 'get', 'a', 'plan', '4', 'this', 'global_warming']"
92,"['climate_change', 'sustainability', 'will', 'be', 'a', 'key', 'driver', 'of', 'future', 'economic', 'development', 'listen', 'at']"
93,"['frederic', 'hague', 'at', 'pen', 'climate_change', 'be', 'not', 'just', 'a', 'alarm', 'bell', 'it', 'be', 'a', 'whole', 'blinking', 'discotech']"
94,"['u', 'general', 'say', 'climate_change', 'threatens', ""america's"", 'security', 'the', 'pentagon', 'have', 'make', 'it', 'well', 'know', 'that', 'it', 'consider']"
95,"['even', 'the', 'general', 'know', 'climate_change', 'be', 'go', 'to', 'screw', 'u']"
96,"['government_report', 'say', 'global_warming', 'may_cause', 'cancer_mental', 'illness']"
97,"['climate_change', 'increase_heat', 'wave', 'flood', 'epa']"
98,"['plant', 'remain', 'an', 'effective_way', 'of', 'tackle', 'global_warming']"
99,"['so', 'far', 'in', 'that', 'class', 'i', 'have', 'gotten', 'into', 'heat', 'discussion', 'with', 'global', 'climate_change', 'denier', 'and', 'student', 'that', 'nothing', 'be', 'their', 'fault']"
100,"['global_warming', 'kill', 'forest', 'in', 'colorado']"
101,"['epa', 'confirms', 'climate', 'be', 'change', 'in', 'another', 'display', 'of', 'the', 'sea', 'change', 'that', 'have', 'occur', 'at', 'the', 'u', 'environmental']"
102,"['must', 'see', 'place', 'before_they', 'disappear', 'europe', 'pic', ']:', 'if', 'global_warming', 'prediction', 'prove', 'to', 'be', 'true', 'the', 'foll']"
103,"['combat', 'climate_change', 'lesson_from', 'the', 'world', 'à_s', 'indigenous_people']"
104,"['i', 'live', 'in', 'ct', 'please', 'support', 'the', 'climate', 'bill', 'and', 'strong', 'action', 'on', 'climate_change']"
105,"['indigenous', 'tradition', 'use', 'to', 'fight', 'climate_change']"
106,"['james_hansen', 'heather_rogers', 'green', 'go_wrong', 'false_hope', 'real_solution', 'to', 'climate_change', '7pm', '4/30']"
107,"['climate_change', 'forest', 'not', 'for_absorb', 'carbon', 'say', 'activist']"
108,"['climate_change', 'melt', 'two', 'glacier', 'billing', 'mont', 'glacier_national', 'park', 'have', 'lose', 'two_more', 'of', 'it', 'namesake']"
109,"['climate_change', 'forest', 'not', 'for_absorb', 'carbon']"
110,"['what', 'beautiful', 'fall', 'weather', 'this', 'morning', 'new_york', 'thanks', 'climate_change', 'bleh']"
111,"['what', 'beautiful', 'fall', 'weather', 'this', 'morning', 'new_york', 'thanks', 'climate_change', 'bleh']"
112,"['climate_change', 'threatens', ""japan's"", 'cherry', 'blossom', 'environment', 'if_you', 'be', 'not', 'familiar', 'with', 'the', 'culture', 'japan']"
113,"['wed', 'podcast', 'mountain', 'valley', 'temp', 'stretch', 'apart', 'with', 'climate_change']"
114,"['mountain', 'valley', 'temp', 'stretch', 'apart', 'with', 'climate_change']"
115,"['arctic', 'rain_in', 'april', 'be', 'sign', 'of', 'global_warming', 'the', 'canadian', 'arctic', 'have', 'be', 'hit', 'by', 'rain_in', 'a', 'sign', 'that', 'the']"
116,"['microbe', 'contribute', 'less', 'to', 'global_warming', 'new', 'haven', 'conn', '. ..']"
117,"['south', 'asian', 'nation', 'to', 'fight', 'climate_change', 'foreign', 'minister', 'of', 'eight', 'south', 'asian', 'nation', 'met', 'in', 'this', 'seclude']"
118,"['climate_change', 'increase_heat', 'wave', 'flood', 'washington_reuters', 'death', 'from', 'heat_wave', 'property', 'damage', 'from']"
119,"['james_hansen', 'heather_rogers', 'green', 'go_wrong', 'false_hope', 'real_solution', 'to', 'climate_change', '7pm', '4/30']"
120,"['i_love', ""frog's"", 'leap', 'seriously', 'what', 'climate_change', 'mean', 'for', 'the', 'wine', 'industry', 'via']"
121,"['report', 'save', 'the', 'whale', 'and', 'they_will', 'save', 'u', 'from', 'global_warming']"
122,"['the', 'contribution', 'of', 'organic', 'agriculture', 'to', 'climate_change', 'mitigation']"
123,"['arctic', 'beauty', 'in', 'black', 'and', 'white', 'alaska_before', 'the', 'effect_of', 'global_warming', 'slide', 'show', ']:', 'toward', 'the', 'end', 'of', 'wor']"
124,"['epa', 'report', 'document', 'very', 'real', 'impact', 'from', 'climate_change', 'in', '22', 'of', '24', 'indicator', 'study']"
125,"['canadian', 'ceo', 'more', 'keen', 'on', 'green', 'than', 'global', 'counterpart', 'prepare', 'for', 'impact', 'of', 'climate_change']"
126,"['ask', 'the', 'g8', 'g20', 'to', 'support', 'biochar', 'fight', 'climate_change', 'food', 'shortage', 'check_this', 'huffpo', 'post']"
127,"['whale', 'doodoo', 'could_help', 'fight', 'climate_change', 'sure', 'why', 'not']"
128,"['global_warming', 'science', 'good_news', 'soil', 'release', 'less', 'carbon', 'than', 'though', 'a', 'world', 'warms']"
129,"['so', 'it', 'april', '27th', 'phoenix', 'have', '90', '_á', 'weather', 'it', 'might', 'snow', 'in', 'new_york', 'today', 'hmmmm', 'global_warming', 'much']"
130,"['high_temperature', 'sea_level', 'due_to', 'global_warming', 'kuala', 'lumpur', ""malaysia's"", 'average', 'temperature', 'have', 'risen', 'by', '1.1']"
131,"['west', 'mediterranean', 'country', 'unite', 'on', 'climate_change', 'afp']"
132,"['cleaner_air', 'could_speed', 'global_warming', 'hugh', 'pickens', 'writes', 'scientist', 'estimate', 'that', 'the', 'u', 'clean', 'air', 'act', 'have', 'cut']"
133,"['3,000_business', 'create_new', 'ad_for', 'climate_change', 'action']"
134,"['person', '1', 'snow', 'then', '65', 'degree', 'on', 'the', 'same', 'day', 'weather', 'do_not', 'even', 'surprise', 'me', 'anymore', 'person', '2', 'that', 'be', 'why', 'global_warming', 'will', 'win']"
135,"['just', 'heard', 'an', 'interest', 'report', 'on', 'report', 'on', 'understand', 'climate_change', 'climate', 'variability', 'influence', 'on', 'human', 'evolution', 'and', 'dispersal']"
136,"['alaska_before', 'the', 'effect_of', 'global_warming', 'pic', ']:']"
137,"['new', 'blog_post', 'mandate', 'energy', 'benchmarking', 'the', 'next', 'step', 'for', 'city', 'in', 'address', 'climate_change']"
138,"['realdocwatson', 'on', 'global_warming', 'go', 'to', 'antarctica', 'and', 'stake', 'a', 'claim', 'now', 'it', 'will', 'be', 'like', 'florida', 'in', 'a', 'few', 'year']"
139,"['how_much', 'trouble', 'do', 'global_warming', 'mean', 'for', 'agriculture', 'just_ask', 'the', 'wine', 'industry']"
140,"['arctic', 'beauty', 'in', 'black', 'and', 'white', 'alaska_before', 'the', 'effect_of', 'global_warming', 'slide', 'show']"
141,"['climate_change', 'from', 'paris', 'to', 'the', 'alp', 'european', 'place', 'in', 'peril', 'photo']"
142,"['how', 'climate_change', 'will', 'change', 'the', 'electoral', 'map', 'the', 'national', 'oceanic', 'and', 'atmospheric', 'administration', 'be', 'not', 'know']"
143,"['report', 'cleaner_air', 'could', 'actually_intensify', 'global_warming', 'a', 'much', 'of', 'the', 'world', 'marked', 'earth_day', 'this', 'past', 'week', 'the', 'environmental']"
144,"['global_warming', 'be', 'a', 'threat', 'after', 'all', 'tim', 'blair', 'round', 'up', 'the', 'late', 'news', 'from', 'the', 'wild', 'frontier', 'of', 'global']"
145,"['kuna', 'indian', 'prepare', 'for', 'relocation', 'a', 'traditional', 'home', 'sink', 'due_to', 'climate_change']"
146,"['how', 'global_warming', 'be', 'kill', ""california's"", 'wine', 'buzz', 'dr', 'kimberley', 'cahill', 'present', 'on', 'climate_change', 'in', 'califor']"
147,"['uncajoe', 'plz_digg', 'climate', 'of', 'hate', 'the', 'politics', 'of', 'climate_change', 'denial', 'a']"
148,"['global_warming', 'ocean_chemistry', 'be', 'change', 'faster_than', 'it', 'have', 'in', '800,000', 'year', 'and', 'that', 'be', 'because', 'of', 'the', 'carbon']"
149,"['good', 'go', 'douche', ""i'm"", 'sure', 'there_be', 'no', 'climate_change', 'in', 'your', 'backass', 'world', 'graham', 'move_imperils', 'obama', 'agenda']"
150,"['ski_resort', 'fight', 'global_warming', 'salt_lake', 'city', 'ap', 'ski_resort', 'across', 'the', 'u', 'be', 'use', 'this', 'thanksgiving']"
151,"['bat_bird', 'and_lizard', 'can_fight', 'climate_change', 'by', 'eat', 'insect', 'bird_bat', 'and_lizard', 'may_play', 'an_important']"
152,"['make', 'it', 'green', 'cloud', 'compute', 'and', 'it', 'contribution', 'to', 'climate_change']"
153,"['climate_change', 'favor', 'invasive_specie', 'over', 'indigenous', 'one', '30', 'of', 'plant', 'thoreau', 'saw', 'be', 'now', 'extinct']"
154,"['scary', 'climate_change', 'alter', 'u', 'season', 'spring', '10', 'day', 'early']"
155,"['pres', 'evo_morale', 'in', 'climate_change', 'lesson_from', 'indigenous_people']"
156,"['mediaglobal', 'report', 'on', 'special', 'tip', 'point', 'earth_day', 'event', 'science', 'and', 'art', 'mobilize', 'to', 'fight', 'climate_change']"
157,"['a', 'review', 'of', ""yesterday's"", 'discussion']"
158,"['global_warming', 'kill', 'forest', 'in', 'colorado']"
159,"['combat', 'climate_change', 'lesson_from', 'the', ""world's"", 'indigenous_people', 'when', 'i', 'arrive', 'at', 'the', 'united_nation', 'climat']"
160,"['africa', 'meteorology', 'service', 'gear', 'up', 'for', 'climate_change', 'on', 'the', 'continent', 'most_vulnerable', 'to', 'climate']"
161,"['gecko', '10_first', 'step', 'to', 'greener_living', 'it', 'all_seem', 'so_daunt', 'climate_change', 'carbon_credit', 'not', 'to', 'mention']"
162,"['china', 'the', 'key', 'to', 'fix', 'global_warming', 'with', 'rapid', 'expansion', 'come', 'sizable', 'environmental', 'impact', 'so', 'the', ""world's""]"
163,"['now', 'on', 'pb', 'go_green', 'new_york', 'examine', 'how', 'new', 'yorkers', 'be', 'confront', 'climate_change', 'check', 'local', 'listing']"
164,"['official', 'nasa', 'report', 'sun', 'cause', 'climate_change']"
165,"['well', 'this', 'be', 'just', 'crazy', 'coal_ceo', 'call_mine', 'safety_rule', 'a_silly', 'a', 'global_warming']"
166,"['impact', 'of', 'climate_change', 'extend', 'to', 'human_health']"
167,"['impact', 'of', 'climate_change', 'extend', 'to', 'human_health']"
168,"['the', 'good_news', 'about', 'the', 'very_bad', 'news', 'about', 'climate_change', 'by', 'rebecca', 'solnit']"
169,"['alpha', 'phi', 'alpha', 'take', 'on', 'climate_change', 'and', 'energy', 'efficiency']"
170,"['natural', 'variability', 'do_not', 'explain', 'global_warming', 'climate', 'scientist', 'tell', 'popular', 'tv', 'meteorologist']"
171,"['rebecca', 'solnit', '350', 'degree', 'of', 'inseparability', 'the', 'good_news', 'about', 'the', 'very_bad', 'news', 'about', 'climate_change']"
172,"['watch', 'video', 'climate_change', 'threatens', 'sacred', 'tibetan', 'mountain', 'include', 'land', 'know', 'a', 'shangri-la']"
173,"['african', 'meteorology', 'service', 'gear', 'up', 'for', 'climate_change', 'america.gov', 'iri']"
174,"['economist', 'say', 'climate_change', 'be', 'bad', 'for', 'economy']"
175,"['report', 'allergy_season', 'to', 'get_bad', 'with', 'climate_change', 'time.com']"
176,"['don', 'à_t', 'kill', 'bill', 'à_', 'save', 'the', 'climate_change', 'accountability', 'act']"
177,"['climate_change', 'make', 'farmer', 'pastoralists', 'in', 'ethiopia', 'increasingly', 'vulnerable']"
178,"['denis', 'hayes', 'founder', 'of', 'earth_day', 'compare', 'global', 'climate_change', 'to', 'irish', 'famine', 'irishcentral', 'news', 'weather', 'politics']"
179,"['climate_change', 'make', 'farmer', 'pastoralists', 'in', 'ethiopia', 'increasingly', 'vulnerable']"
180,"['it', 'earthday', 'be', 'aware', 'of', 'what', 'you', 'consume', 'waste', 'how', 'you', 'treat', 'this', 'place', 'we', 'only', 'have', '1', 'a', 'we_can', 'see', 'global_warming', 'be', 'in', 'effect']"
181,"['earth_day', 'ben', 'verwaayen', 'on', 'what', 'we', 'be', 'do', 'to_curb', 'climate_change']"
182,"['health', 'u', 'and', 'other', 'industrial', 'nation', 'already', 'feel', 'impact', 'of', 'climate_change', 'report']"
183,"['10_first', 'step', 'to', 'greener_living', 'it', 'all_seem', 'so_daunt', 'climate_change', 'carbon_credit', 'not', 'to', 'mention', 'biofuel']"
184,"['climate_change', 'could_raise', 'cost_of', 'u', 'allergy', 'reuters']"
185,"['treat', 'climate_change', 'a', 'a', 'curable_disease', 'bioethicists', 'and', 'international', 'law', 'expert', 'met', 'in', 'asilomar', 'later', 'la']"
186,"['well', 'this', 'be', 'just', 'crazy', 'coal_ceo', 'call_mine', 'safety_rule', 'a_silly', 'a', 'global_warming']"
187,"['military_lead', 'fight_against', 'climate_change']"
188,"['military_lead', 'fight_against', 'climate_change', 'the', 'u', 'military', 'the', ""government's"", 'large', 'fuel', 'buyer', 'be', 'lead', 'th']"
189,"['swedish', 'expert', 'say', 'co2', 'be', 'not', 'the', 'main', 'cause', 'of', 'global_warming', 'swedish', 'climate', 'expert', 'dr', 'fred', 'goldberg', 'have', 'say']"
190,"['treat', 'climate_change', 'a', 'a', 'curable_disease', 'wire', 'science', 'wired.com', 'green']"
191,[]
192,"['thursday', 'on', 'pb', 'go_green', 'new_york', 'examine', 'how', 'new', 'yorkers', 'be', 'confront', 'climate_change', 'check', 'local', 'listing']"
193,"['un', 'à_', 'only', 'global', 'cooperation', 'can', 'prevent', 'runaway', 'climate_change', 'secretary', 'à_', 'the', 'united_nation', 'seek', 'dialogue', 'i']"
194,"['most_important', 'event', 'in', 'struggle_against', 'climate_change', 'nigerian_environmentalist', 'nnimmo_bassey']"
195,"['military_lead', 'fight_against', 'climate_change', 'pew']"
196,"['report', 'identifies', '11', 'disease', 'health', 'issue', 'affctd', 'by', 'climate_change', 'once', 'u', 'inclde', 'mental', 'health', ""evrything's"", 'stake']"
197,"['for', 'earth_day', 'resource', 'on', 'cop', 'with', 'climate_change']"
198,"['ocean_saltiness', 'show', 'global_warming', 'be', 'intensify_our', 'water_cycle']"
199,"['fedele', 'bauccio', 'combat', 'climate_change', 'one', 'meal', 'at', 'a', 'time', 'this_week', 'american', 'will', 'celebrate', 'the', '40th', 'anniver']"
200,"['i', 'support', ""world_people's"", 'conf', 'on', 'climate_change', 'in', 'cochabamba', 'bolivia.watch', 'live']"
201,"['barrett', 'well', 'to', 'have', 'lot', 'of', 'small', 'protocol', 'on', 'climate_change', 'than', 'push', 'for', 'one', 'comprehensive', 'one']"
202,"['topography', 'of', 'mountain', 'could', 'complicate', 'rate', 'of', 'global_warming']"
203,"['i', 'support', 'the', ""world_people's"", 'conference_on', 'climate_change', 'in', 'cochabamba', 'bolivia', 'watch', 'live', 'now', 'at']"
204,"['many', 'global', 'issue', 'require', 'universal', 'co-operation', 'to', 'address', 'smallpox', 'ozone', 'layer', 'climate_change']"
205,"['bolivia', 'president', 'on', 'global_warming']"
206,"['boil', 'point', 'contain', 'the', 'spill', 'over', 'of', 'climate_change', 'in', 'the', 'indian', 'subcontinent', 'a', 'à_']"
207,"['no', 'link', 'now', 'between', 'eyjafjallaj', '__kull', 'and', 'climate_change', 'but', 'a', 'warming', 'world', 'could_trigger', 'earthquake', 'landslide']"
208,"['ethiopia', 'climate_change', 'increase', 'poverty_and', 'vulnerability']"
209,"['ethiopia', 'climate_change', 'increase', 'poverty_and', 'vulnerability', 'small-scale', 'farmer', 'and', 'pastoralists', 'i']"
210,"['the', 'most_important', 'event', 'in', 'the', 'struggle_against', 'climate_change', 'nigerian_environmentalist', 'nnimmo_bassey', 'on', 'à_']"
211,"['the', 'most_important', 'event', 'in', 'the', 'struggle_against', 'climate_change', 'nigerian_environmentalist', 'nnimmo_bassey', 'on', 'à_']"
212,"['backgrounder', ""china's"", 'major', 'policy', 'to', 'tackle', 'climate_change', 'since', 'year', '2000']"
213,"['uw_biologist', 'link_early', 'bloom', 'to', 'global_warming', 'associate', 'press', 'april', '21', '2010', '6:15', 'be', 'et', 'stevens', 'point']"
